"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
126.500000,0.00000,,"Airports Air Traffic Control",Statewide,"Approach/Departure VHF","LIH App/Dep VHF",CSQ,,AM,,Aircraft
126.500000,0.00000,,"Airports Airfield Operations",Statewide,"Skydiving Operations","PAK SKY DIVE",CSQ,,AM,BM,Aircraft
126.500000,0.00000,,"Airports Airport ATC",Statewide,"Approach / Departure","App / Dep",CSQ,,AM,BM,Aircraft
126.600000,0.00000,,"Airports Air Traffic Control",Statewide,"Approach/Departure VHF (HCF)","ITO App/Dep VHF",CSQ,,AM,BM,Aircraft
127.050000,0.00000,,"Airports Air Traffic Control",Statewide,"Island Traffic Advisory","LIH ITAF",CSQ,,AM,BM,Aircraft
127.200000,0.00000,,"Airports Air Traffic Control",Statewide,ASOS,"LIH ASOS",CSQ,,AM,BM,Aircraft
127.200000,0.00000,,"Airports Airfield Operations",Statewide,"Automatic Terminal Information Service (ATIS)","LIH ATIS",CSQ,,AM,,Aircraft
127.200000,0.00000,,"Airports Air Traffic Control",Statewide,ATIS,"LIH ATIS",CSQ,,AM,BM,Aircraft
127.400000,0.00000,,"Airports Airfield Operations",Statewide,AWOS,"KOA AWOS",CSQ,,AM,BM,Aircraft
127.900000,0.00000,,"Airports Air Traffic Control",Statewide,D-ATIS,D-ATIS,CSQ,,AM,BM,Aircraft
128.200000,0.00000,,"Airports Airfield Operations",Statewide,ATIS,"MKK ATIS",CSQ,,AM,,Aircraft
128.400000,0.00000,,"Airports Airfield Operations",Statewide,"Tower - Helicopters","LIH Tower Heli",CSQ,,AM,,Aircraft
128.400000,0.00000,,"Airports Air Traffic Control",Statewide,"Helicopter Operations","LIH HELO",CSQ,,AM,BM,Aircraft
128.600000,0.00000,,"Airports Airfield Operations",Statewide,ATIS,"OGG ATIS",CSQ,,AM,,Aircraft
128.850000,0.00000,,"Airports Airline Operations",Statewide,"United Airlines","UAL Ops",CSQ,,AM,BM,Business
128.875000,0.00000,,"Airports Airline Operations",Statewide,"Air Support Group","Air Support ",CSQ,,AM,BM,Military
128.950000,0.00000,,"Airports Airline Operations",Statewide,"Air Service Hawaii FBO","Air Service FBO",CSQ,,AM,BM,Business
128.950000,0.00000,,"Airports Airline Operations",Statewide,"Air Service Hawaii FBO","Air Service ",CSQ,,AM,BM,Business
128.950000,0.00000,,"Airports Airline Operations",Statewide,"Air Service Hawaii FBO","Air Service FBO",CSQ,,AM,,Business
129.100000,0.00000,,"Airports Airline Operations",Statewide,"Hawaiian Airlines - Interisland Ramp","HAL Ramp",CSQ,,AM,BM,Aircraft
129.300000,0.00000,,"Airports Airline Operations",Statewide,"Hawaiian Airlines","HAL Ops",CSQ,,AM,BM,Business
129.300000,0.00000,,"Airports Airline Operations",Statewide,"Hawaiian Airlines - Maintenance","HAL Maint",CSQ,,AM,BM,Business
129.325000,0.00000,,"Airports Airline Operations",Statewide,"American Airlines","AAL OPS",CSQ,,AM,BM,Business
129.425000,0.00000,,"Airports Airline Operations",Statewide,UPS,"UPS OPS",CSQ,,AM,BM,Business
129.625000,0.00000,,"Airports Airline Operations",Statewide,"Atlas Air / DHL","GTI DHL OPS",CSQ,,AM,BM,Business
129.900000,0.00000,,"Airports Airline Operations",Statewide,"Aloha Air Cargo","AAH OPS",CSQ,,AM,BM,Business
129.950000,0.00000,,"Airports Airline Operations",Statewide,"Castle & Cook Avaition FBO",CasteCookFBO,CSQ,,AM,BM,Business
130.300000,0.00000,,"Airports Airline Operations",Statewide,"United Airlines","UAL Ops",CSQ,,AM,,Business
130.300000,0.00000,,"Airports Airline Operations",Statewide,"United Airlines","UAL OPS",CSQ,,AM,BM,Business
130.600000,0.00000,,"Airports Airline Operations",Statewide,"Hallmark Aviation","Hallmark ",CSQ,,AM,BM,Business
130.800000,0.00000,,"Airports Airline Operations",Statewide,"Signature Flight Support","Signature FBO",CSQ,,AM,,Business
130.800000,0.00000,,"Airports Airline Operations",Statewide,"Signature Flight Support","Signature FBO",CSQ,,AM,BM,Business
130.800000,0.00000,,"Airports Airline Operations",Statewide,"Landmark Aviation FBO",Landmark,CSQ,,AM,BM,Business
130.800000,0.00000,,"Airports Airline Operations",Statewide,"Signature Flight Support FBO","Signature FBO",CSQ,,AM,BM,Business
130.900000,0.00000,,"Airports Airline Operations",Statewide,"United Airlines","UAL Ops",CSQ,,AM,BM,Business
131.075000,0.00000,,"Airports Airline Operations",Statewide,"United Airlines","UAL Ops",CSQ,,AM,BM,Business
131.200000,0.00000,,"Airports Airline Operations",Statewide,"Alaska Airlines","ASA Ops",CSQ,,AM,BM,Business
131.225000,0.00000,,"Airports Airline Operations",Statewide,"Aloha Contract Services","ACS Ops",CSQ,,AM,,Business
131.225000,0.00000,,"Airports Airline Operations",Statewide,"Aloha Contract Services","ACS Ops",CSQ,,AM,BM,Business
131.300000,0.00000,,"Airports Airline Operations",Statewide,"Island Air","MKU OPS",CSQ,,AM,BM,Business
131.450000,0.00000,,"Airports Airline Operations",Statewide,"Delta Airlines - Operations","DAL OPS",CSQ,,AM,BM,Business
131.450000,0.00000,,"Airports Airline Operations",Statewide,"Delta Airlines","DAL Ops",CSQ,,AM,BM,Business
131.450000,0.00000,,"Airports Airline Operations",Statewide,"Hawaiian Airlines","HAL Ops",CSQ,,AM,,Business
131.550000,0.00000,,"Airports Airline Operations",Statewide,"ACARS Data",ACARS,CSQ,,AM,BM,Data
131.650000,0.00000,,"Airports Airline Operations",Statewide,"Delta Airlines - Atlanta Radio","DAL ATL RDO",CSQ,,AM,BM,Business
131.925000,0.00000,,"Airports Airline Operations",Statewide,Fedex,"FDX OPS",CSQ,,AM,BM,Business
131.950000,0.00000,,"Airports Airline Operations",Statewide,"ARINC En Route Service","ARINC EnRout",CSQ,,AM,BM,Business
132.600000,0.00000,,"Airports Airfield Operations",Statewide,"Tower VHF","JRF Tower VHF",CSQ,,AM,,Aircraft
133.600000,0.00000,,"Airports Base Operations",Statewide,"Advisory Ramp VHF","HIK Adv Ramp VHF",CSQ,,AM,,Military
133.600000,0.00000,,"Airports Airline Operations",Statewide,"USAF Hickam","USAF Hickam",CSQ,,AM,BM,Military
134.000000,0.00000,,"Airports Air Traffic Control",Statewide,"Approach / Departure","LIH APP",CSQ,,AM,BM,Aircraft
136.850000,0.00000,,"Airports Airline Operations",Statewide,"ACARS Data",ACARS,CSQ,,AM,BM,Data
141.800000,0.00000,,"Airports Base Operations",Statewide,"Command Post VHF","HIK CP VHF",,,AM,,Military
141.800000,0.00000,,"Airports Air Traffic Control",Statewide,CP,CP,CSQ,,AM,BM,Aircraft
144.390000,0.00000,,"2m Repeaters",Hawaii,"APRS System","APRS 144.39",,,FM,,Ham
144.910000,0.00000,,"2m Repeaters",Hawaii,"Packet Digital Captain Cook KH6Z-1","Packet CptCk",,,FM,,Ham
144.910000,0.00000,,"2m Repeaters",Hawaii,"Packet Digital Ocean View KH7MS-1","Packet OcnVw",,,FM,,Ham
145.290000,144.69000,WH6FC,"2m Repeaters",Hawaii,"Ocean View repeater","Ocean View","100.0 PL","100.0 PL",FM,RM,Ham
145.310000,144.71000,AH6JA,"2m Repeaters",Hawaii,"Hilo repeater","AH6JA Hilo",,,FM,RM,Ham
145.410000,0.00000,n/a,"KH7MS DMR Net",Hawaii,"Site: 006 Ocean View VHF",n/a,n/a,n/a,DMR,RM,TRS
145.410000,0.00000,KH7MS,"2m Repeaters",Hawaii,"Ocean View, Ka'u","KH7MS P25","293 NAC",,P25,RM,Ham
145.410000,0.00000,n/a,"Hawaii Brandmeister",Hawaii,"Site: 001 Ocean View, Ka'u",n/a,n/a,n/a,DMR,RM,TRS
145.410000,144.81000,KH7MS,"2m Repeaters",Hawaii,"Naalehu repeater",Naalehu,"100.0 PL","100.0 PL",FM,RM,Ham
145.410000,0.00000,KH7MS,"2m Repeaters",Hawaii,"Ocean View, Ka'u","KH7MS YSF",,,YSF,RM,Ham
145.410000,0.00000,KH7MS,"2m Repeaters",Hawaii,"Ocean View, Ka'u","KH7MS DMR","CC 1|TG *|SL *",,DMR,RM,Ham
145.450000,0.00000,,"2m Repeaters",Hawaii,"Hawaiian Paradise Park",HawaiianPrk,"100.0 PL",,FM,RM,Ham
145.490000,144.89000,KH6TA,"2m Repeaters",Hawaii,Na'alehu,"KH6TA 2m",,"100.0 PL",FM,RM,Ham
145.510000,0.00000,,Simplex,Hawaii,"VHF Simplex 6","VHF Simplex 6","CC 1|TG 99|SL *",,DMR,M,Ham
145.790000,0.00000,,Simplex,Hawaii,"VHF Simplex 5","VHF Simplex 5","CC 1|TG 99|SL *",,DMR,M,Ham
146.660000,146.06000,WH6FC,"2m Repeaters",Hawaii,"Kealakekua repeater",Kealakekua,"100.0 PL","100.0 PL",FM,RM,Ham
146.700000,146.10000,NH6M,"2m Repeaters",Hawaii,Kona,146.700,,,FM,RM,Ham
146.700000,146.10000,,"Kauai Amateur Radio Club",Kauai,"Crater Hill (North)","KARC Crater Hill","100.0 PL",,FM,RM,Ham
146.720000,0.00000,,"2m Repeaters",Hawaii,"Mauna Kea","Mauna Kea","103.5 PL",,FM,RM,Ham
146.760000,146.16000,,"2m Repeaters",Hawaii,Kulani,146.76000,,"100.0 PL",FM,RM,Ham
146.820000,146.22000,WH6FM,"2m Repeaters",Hawaii,"Mauna Loa P25 repeater","146.820 P25","BAD NAC","BAD NAC",P25,RM,Ham
146.820000,146.22000,WH6FM,"2m Repeaters",Hawaii,"Mauna Loa analog",146.82000,"100.0 PL","100.0 PL",FM,RM,Ham
146.860000,0.00000,,"2m Repeaters",Hawaii,"Ocean View","Ocean View","100.0 PL",,FM,RM,Ham
146.880000,0.00000,,"2m Repeaters",Hawaii,Pepeekeo,146.88000,,"100.0 PL",FM,RM,Ham
146.920000,0.00000,,"2m Repeaters",Hawaii,Naalehu,146.92000,,"100.0 PL",FM,RM,Ham
146.940000,0.00000,,"2m Repeaters",Hawaii,Haleakala,146.94000,,"110.9 PL",FM,RM,Ham
147.080000,147.68000,,"Kauai Amateur Radio Club",Kauai,"Kalepa Ridge (East)","KARC KalepaRidge","100.0 PL",,FM,RM,Ham
147.100000,147.70000,,"Kauai Amateur Radio Club",Kauai,"Waimea Canyon (West)","KARC Waimea Can","100.0 PL",,FM,RM,Ham
147.120000,0.00000,,"2m Repeaters",Hawaii,Kapoho,Kapoho,"100.0 PL",,FM,RM,Ham
147.160000,147.76000,,"Kauai Amateur Radio Club",Kauai,"Wilcox (Not Linked)","KARC Wilcox","100.0 PL",,FM,RM,Ham
147.160000,0.00000,,"2m Repeaters",Hawaii,Kona,146.94000,,"100.0 PL",FM,RM,Ham
147.300000,147.90000,WB6EGR,"2m Repeaters",Hawaii,"Koloko Peak",147.300,"100.0 PL","100.0 PL",FM,RM,Ham
147.320000,0.00000,,"2m Repeaters",Hawaii,Waimea,146.94000,,"100.0 PL",FM,RM,Ham
151.017500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 009 Kailua",n/a,n/a,n/a,"Project 25",RM,TRS
151.017500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 001 Pepeekeo",n/a,n/a,n/a,"Project 25",RM,TRS
151.017500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 013 Naalehu",n/a,n/a,n/a,"Project 25",RM,TRS
151.055000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 031 Ocean View",n/a,n/a,n/a,"Project 25",RM,TRS
151.055000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 032 Pahoa",n/a,n/a,n/a,"Project 25",RM,TRS
151.062500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 004 Honokaa",n/a,n/a,n/a,"Project 25",RM,TRS
151.085000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 006 Humuula (Mauna Kea)",n/a,n/a,n/a,"Project 25",RM,TRS
151.100000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 016 Waimea",n/a,n/a,n/a,"Project 25",RM,TRS
151.115000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 031 Ocean View",n/a,n/a,n/a,"Project 25",RM,TRS
151.115000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 007 Laupahoehoe",n/a,n/a,n/a,"Project 25",RM,TRS
151.115000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 032 Pahoa",n/a,n/a,n/a,"Project 25",RM,TRS
151.145000,159.34500,WNJW294,"Nature Conservancy of Hawaii",Maui,"Molokai Ops","NCH Molokai",,,FM,RM,"Public Works"
151.152500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 009 Kailua",n/a,n/a,n/a,"Project 25",RM,TRS
151.160000,154.99500,WPWL718,"Department of Forestry and Conservation",Maui,"Dept. of Forestry and Conservation","F/C 151.160",,,FM,RM,"Public Works"
151.190000,159.34500,WNJW294,"Nature Conservancy of Hawaii",Maui,"Lani Ops","NCH Lani",,,FM,RM,"Public Works"
151.205000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 008 Kahua Ranch (Kamuela)",n/a,n/a,n/a,"Project 25",RM,TRS
151.205000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 013 Naalehu",n/a,n/a,n/a,"Project 25",RM,TRS
151.235000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 001 Pepeekeo",n/a,n/a,n/a,"Project 25",RM,TRS
151.265000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 032 Pahoa",n/a,n/a,n/a,"Project 25",RM,TRS
151.265000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 007 Laupahoehoe",n/a,n/a,n/a,"Project 25",RM,TRS
151.265000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 031 Ocean View",n/a,n/a,n/a,"Project 25",RM,TRS
151.295000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 006 Humuula (Mauna Kea)",n/a,n/a,n/a,"Project 25",RM,TRS
151.392500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 013 Naalehu",n/a,n/a,n/a,"Project 25",RM,TRS
151.392500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 009 Kailua",n/a,n/a,n/a,"Project 25",RM,TRS
151.407500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 031 Ocean View",n/a,n/a,n/a,"Project 25",RM,TRS
151.407500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 004 Honokaa",n/a,n/a,n/a,"Project 25",RM,TRS
151.407500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 032 Pahoa",n/a,n/a,n/a,"Project 25",RM,TRS
151.422500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 031 Ocean View",n/a,n/a,n/a,"Project 25",RM,TRS
151.422500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 032 Pahoa",n/a,n/a,n/a,"Project 25",RM,TRS
151.422500,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 007 Laupahoehoe",n/a,n/a,n/a,"Project 25",RM,TRS
151.445000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 006 Humuula (Mauna Kea)",n/a,n/a,n/a,"Project 25",RM,TRS
151.490000,0.00000,n/a,"Hawaii County Public Safety System",Hawaii,"Site: 008 Kahua Ranch (Kamuela)",n/a,n/a,n/a,"Project 25",RM,TRS
151.520000,158.38500,KVM692,"Businesses Miscellaneous",Statewide,"Royal Hawaiian Orchards (Naalehu)","Roy Hi Orchd","131.8 PL",,FMN,RM,Business
151.527500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 005 Hanalei",n/a,n/a,n/a,DMR,RM,TRS
151.557500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 003 Hydro",n/a,n/a,n/a,DMR,RM,TRS
151.557500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 002 Koloa",n/a,n/a,n/a,DMR,RM,TRS
151.865000,0.00000,,"Airports Airport Operations",Statewide,Security,"KOA Security","411 DPL",,FMN,BM,Security
151.955000,0.00000,,"Nawiliwili Harbor",Kauai,"Young Brothers (Inter-Island Cargo Terminal, Pier 3)","Young Bros","162.2 PL",,FMN,M,Business
151.962500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 004 Lihue",n/a,n/a,n/a,DMR,RM,TRS
152.270000,157.53000,WQXG875,"Hawaii Public Schools",Hawaii,"Konawaena Elementary School","Konawaena ES","103.5 PL",,FMN,RM,Schools
152.337500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 002 Koloa",n/a,n/a,n/a,DMR,RM,TRS
152.337500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 003 Hydro",n/a,n/a,n/a,DMR,RM,TRS
152.412500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 004 Lihue",n/a,n/a,n/a,DMR,RM,TRS
152.457500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 005 Hanalei",n/a,n/a,n/a,DMR,RM,TRS
152.892500,0.00000,n/a,"Kauai Island Utility Cooperative",Kauai,"Site: 001 Kekaha",n/a,n/a,n/a,DMR,RM,TRS
152.990000,159.67500,WQBT442,"Airports Airline Ground Operations",Statewide,"Bradley Aviation - Aircraft Fueling","BRADLEY FUEL","004 RAN",,NXDN,RM,Business
152.990000,0.00000,WQBT442,"Airports Airline Ground Operations",Statewide,"Bradley Aviation - FBO","BRADLEY FBO","001 RAN",,NXDN,M,Business
153.065000,158.28000,WNVD448,"Businesses Miscellaneous",Statewide,"West Hawaii Concrete (Kona)","W Hi Concret","136.5 PL",,FMN,RM,Business
153.650000,0.00000,,"Businesses Utilities",Statewide,"Hawaiian Electric Company (HECO)","HECO Elec",,,FM,BM,Utilities
153.747500,0.00000,WQGU218,"State Civil Defense VHF-High band",Statewide,"Emergency & Disaster Services Coordination","Civ Def 7475",,,FMN,M,"Emergency Ops"
